distance (m),speed (m/s)
1130,30.9444466
1133,30.583334
1136,30.3611145
1140,30.1111126
1143,30.0000019
1146,30.0555573
1149,30.166666
1152,30.2222214
1155,30.2777786
1158,30.3055534
1161,30.333334
1164,30.3055534
1167,30.166666
1170,29.9722214
1173,29.7222214
1176,29.4444447
1179,29.1666679
1182,28.9166641
1185,28.5555553
1188,28.4166679
1191,28.4444447
1194,28.4722214
1197,28.5
1200,28.6666679
1202,28.8055553
1205,28.9166641
1208,29.0277767
1211,29.2222252
1214,29.4166679
1217,29.6388893
1220,29.9444447
1223,30.2500019
1227,30.416666
1230,30.6388893
1233,30.7222233
1236,30.708334
1239,30.6944466
1242,30.7222233
1245,30.666666
1248,30.7222233
1252,30.8055553
1255,30.9444466
1258,31.083334
1261,31.333334
1264,31.4722233
1267,31.5833359
1271,31.6388912
1274,31.7222233
1277,31.75
1280,31.8333321
1284,31.9444447
1287,32.0555573
1290,32.2222252
1293,32.5
1297,32.6388893
1300,32.7777786
1303,32.8611145
1307,32.7777786
1310,32.6388893
1313,32.4166679
1317,32.0277786
1320,31.5833359
1323,31.2777786
1326,30.8611107
1329,30.583334
1332,30.333334
1335,30.083334
1339,29.833334
1342,29.6111088
1345,29.3888893
1347,29.1388893
1350,28.8888893
1353,28.6666679
1356,28.4722214
1359,28.2777786
1362,28.1666679
1365,28.0555553
1368,28.0000019
1371,27.9722233
1373,28.0555553
1376,28.1944447
1379,28.3611126
1382,28.583334
1385,28.9444447
1388,29.25
1391,29.6111088
1394,29.9722214
1397,30.3055534
1400,30.6388893
1403,30.9722233
1407,31.3055592
1410,31.6666679
1413,31.9722233
1416,32.2222252
1420,32.5833359
1423,32.9166679
1426,33.25
1430,33.6666679
1433,34.1111145
1437,34.5277786
1440,35.0277786
1444,35.5
1448,35.8611107
1451,36.2777786
1455,36.5000038
1459,36.6388931
1462,36.7222214
1466,36.6388931
1470,36.3333321
1474,36.1111107
1477,35.75
1481,35.3611107
1484,35.0833359
1488,34.75
1491,34.4444466
1495,34.1666679
1498,33.8888893
1502,33.5555573
1505,33.2222214
1508,32.9444466
1512,32.6111107
1515,32.3333321
1518,32.1944427
1522,32.1666679
1525,32.1111107
1528,32.1250038
1531,32.1388931
1535,32.1111107
1538,32.1388931
1541,32.1111107
1544,32.0833321
1548,32.0555573
1551,32.25
1554,32.5833359
1558,32.8888893
1561,33.2777786
1565,33.6944466
1568,34
1571,34.3611145
1575,34.5833359
1579,34.7222214
1582,34.8055534
1586,34.8888893
1589,34.9444466
1593,34.8888893
1596,34.75
1600,34.5555534
1603,34.4166679
1607,34.2222214
1610,34.0555534
1614,33.9166679
1617,33.8055573
1621,33.75
1624,33.7777786
1627,33.8055573
1631,33.8194466
1634,33.8333321
1638,33.9166679
1641,34.0833359
1645,34.2222214
1648,34.3333359
1652,34.5000038
1655,34.7222214
1659,35.0277786
1662,35.3055573
1666,35.5833359
1670,35.8888893
1673,36.0833359
1677,36.3055573
1681,36.4166679
1684,36.4722252
1688,36.4166679
1692,36.3611107
1696,36.1666641
1699,35.9444466
1703,35.6388931
1706,35.3055573
1710,34.9722214
1713,34.5833359
1717,34.2222214
1720,33.8611107
1724,33.5
1727,33.1111145
1730,32.6944466
1734,32.25
1737,31.8055553
1740,31.333334
1743,30.833334
1746,30.3055534
1749,29.7777805
1752,29.2222252
1755,28.6666679
1758,28.1666679
1761,27.6944466
1764,27.2222233
1767,26.7777786
1769,26.3888893
1772,26.0277786
1774,25.666666
1777,25.5
1780,25.4444447
1782,25.5
1785,25.6388912
1787,26.0555573
1790,26.3055573
1793,26.5555553
1796,26.8333321
1798,27.1111107
1801,27.3055573
1804,27.6111107
1807,27.9166679
1810,28.2222214
1813,28.6388874
1816,29.1666679
1819,29.7222214
1822,30.333334
1825,30.9722233
1828,31.5
1831,32.1111107
1835,32.6111107
1838,33.0833321
1841,33.5277786
1845,33.9722214
1848,34.3333359
1852,34.6666679
1855,35.0277786
1859,35.3611107
1863,35.6111107
1866,35.8333321
1870,36.0555573
1874,36.25
1877,36.4444466
1881,36.6111145
1885,36.8055573
1889,36.9444466
1892,37.0833321
1896,37.1944504
1900,37.2222214
1904,37.1944504
1907,37.1666679
1911,37.1527786
1915,37.1388893
1919,37.0833321
1923,37.0277786
1926,36.8611107
1930,36.6666641
1934,36.4722252
1937,36.1388931
1941,35.6388931
1945,35.25
1948,34.8055534
1952,34.3333359
1955,33.9722214
1959,33.6111107
1962,33.25
1965,32.9444466
1969,32.6388893
1972,32.3611107
1975,32.1111107
1978,31.8333321
1982,31.5277786
1985,31.2222233
1988,30.8888912
1991,30.5555553
1994,30.1944466
1997,29.8055573
2000,29.4166679
2003,29.0555573
2006,28.7222233
2009.000122,28.4166679
2012.000122,28.1111126
2015.000122,27.8055553
2017,27.5277767
2020,27.3888893
2023,27.1111107
2026,26.7777786
2028.000122,26.4722233
2030.999878,26.1944447
2033.999878,25.833334
2036,25.666666
2039,25.5833321
2040.999878,25.5555573
2043.999878,25.5833321
2046.999878,25.833334
2049,25.9444447
2052,26.1111107
2055,26.25
2057,26.3055573
2060,26.3194447
2063,26.3333359
2065,26.3055573
2068,26.25
2071,26.3333359
2073,26.416666
2076,26.4722233
2079,26.5000019
2081,26.4861126
2084,26.4722233
2087,26.3611107
2090,26.2222233
2092,26.0555573
2095,25.8611107
2097,25.7222233
2100,25.6388912
2103,25.5555573
2105,25.4722252
2108,25.4444447
2110,25.5
2113,25.7777786
2116,26
2118,26.2777767
2121,26.6111126
2124,26.8888893
2127,27.2222233
2129,27.5555573
2132,27.8611126
2135,28.1666679
2138,28.4444466
2141,28.7222233
2144,28.9722233
2147,29.1944447
2150,29.3888893
2153,29.6111088
2156,29.8055573
2159,30.0000019
2162,30.2222214
2165,30.416666
2168,30.5555553
2171,30.6388893
2174,30.7222233
2178,30.8055553
2181,30.8611107
2184,30.9722233
2187,31.083334
2190,31.25
2193,31.4722233
2197,31.6944447
2200,31.9444447
2203,32.2777786
2206,32.5555573
2210,32.8611145
2213,33.1388893
2217,33.2777786
2220,33.3611107
2223,33.4166679
2227,33.375
2230,33.3333321
2233,33.25
2237,33.0277786
2240,32.8333359
2243,32.6111107
2247,32.3611107
2250,32.0833321
2253,31.7222233
2256,31.3611107
2260,30.9999981
2263,30.6388893
2266,30.3055534
2269,29.9444447
2272,29.583334
2275,29.1944447
2278,28.8333359
2281,28.4166679
2284,27.9444427
2286,27.5555573
2289,27.1944447
2292,26.8333321
2295,26.7222233
2297,26.8888893
2300,26.9444447
2303,27.083334
2306,27.2777786
2308,27.3055573
2311,27.25
2314,27.1944466
2317,27.1388893
2319,26.9166679
2322,26.9305553
2325,26.9444447
2328,27.0277786
2330,27.1666679
2333,27.333334
2336,27.3888893
2339,27.5
2342,27.4722233
2344,27.4166679
2347,27.3055573
2350,27.1666679
2353,26.8055553
2355,26.5555553
2358,26.3055573
2361,26.0555573
2363,25.9444447
2366,25.8055573
2368,25.6944447
2371,25.5833321
2374,25.2777786
2376,24.5277786
2379,23.9444466
2381,23.6111107
2383,23.3888893
2386,23.2222214
2388,23.1111126
2390,23.1388893
2393,23.1944466
2395,23.2500019
2398,23.4166679
2400,23.4722233
2402,23.583334
2405,23.6666679
2407,23.7222233
2410,23.833334
2412,24.0555553
2414,24.2777786
2417,24.583334
2420,24.9722214
2422,25.3611126
2425,25.6944447
2427,26.083334
2430,26.2777767
2433,26.416666
2435,26.5000019
2438,26.4444447
2441,26.2777767
2443,26.083334
2446,25.7777786
2449,25.4444447
2451,25.1944466
2454,24.8611126
2456,24.6388893
2459,24.5277786
2461,24.3888893
2464,24.2500019
2466,24.2222233
2469,24.0277786
2471,23.8055573
2473,23.5555573
2476,23.2777786
2478,22.8611107
2480,22.5833359
2483,22.2777786
2485,22.0277786
2487,21.8611126
2489,21.7777786
2492,21.7222233
2494,21.7777786
2496,21.916666
2498,21.9722233
2500,22.0833321
2503,22.1944447
2505,22.3055573
2507,22.4166679
2510,22.5833359
2512,22.7222233
2514,23.0000019
2517,23.3611107
2519,23.75
2522,24.1666679
2524,24.6388893
2527,25.1111126
2529,25.6111126
2532,26.1388893
2535,26.666666
2537,27.25
2540,27.8055553
2543,28.3611126
2546,28.9166641
2549,29.4444447
2552,29.9444447
2555,30.4444466
2558,30.9444466
2561,31.4444466
2565,31.9166679
2568,32.4444427
2571,32.8611145
2575,33.1666679
2578,33.4722214
2582,33.6944466
2585,33.8055573
